text,sentiment,clean_text
"waktu itu beli beef brisket schnitzel dan rasanya biasa . tempat nya oke , kurang nyaman karena selesai makan , piring nya cepat sekali diambil untuk dibereskan .",negative,beli beef brisket schnitzel nya oke nyaman selesai makan piring nya cepat diambil dibereskan
"sore hari desember musim hujan di bandung , kopi sore hari di pawon pitoe terasa nikmat suasana dingin . lanjut makan malam dihibur dengan lift musik serta berbagai pilihan menu . suasana sangat nyaman .",positive,sore desember musim hujan bandung kopi sore pawon pitoe nikmat suasana dingin makan malam dihibur lift musik pilihan menu suasana nyaman
"selain makanan nya yang enak , tempat nya sangat unik dan kereen banget . udara nya segar dan sangat rindang",positive,makanan nya enak nya unik kereen banget udara nya segar rindang
"indihome kalau mahal tetapi bagus sih oke , lah ini . aduh sudah mahal . kusut",negative,indihome mahal bagus sih oke aduh mahal kusut
"ketua umum partai demokrat , susilo bambang yudhoyono umumkan 17 cagub amp ; cawagub yang diusung partai demokrat untuk pilkada 2018 di wisma proklamasi , menteng , jakarta pusat , minggu 7 / 1 .",neutral,ketua partai demokrat susilo bambang yudhoyono umumkan cagub amp cawagub diusung partai demokrat pilkada wisma proklamasi menteng jakarta pusat minggu
akibat dungu masal tidak bisa membedakan koruptor kelas paus,negative,akibat dungu masal membedakan koruptor kelas paus
sampah lo dit malu - maluin mahasiswa saja jawaban lo sistematika media aja lo enggak paham malah nelan mentah mentah,negative,sampah lo dit malu maluin mahasiswa lo sistematika media aja lo paham nelan mentah mentah
"lokasi tepat di sebelah parkview hotel di seberang sukajadi hotel . rasa pas di lidah , dessert nya tak terlalu manis terasa pas di lidah , tidak membuat enek , malah membuat ketagihan . untuk menu utama seperti udon , rasanya gurih namun tak terlalu asin , enak banget . harga acceptable , sesuai kantong . pelayanan ramah , cocok untuk tpt nongkrong malam minggu .",positive,lokasi sebelah parkview hotel seberang sukajadi hotel pas lidah dessert nya manis pas lidah enek ketagihan menu utama udon gurih asin enak banget harga acceptable sesuai kantong pelayanan ramah cocok tpt nongkrong malam minggu
"cendana bistro , kafe yang berada di jalan sukajadi ini masih satu management dengan zen reflexiology . akan tercium wangi yang sama dengan aromateraphy yang ada di zen reflexiology . kafe nya sangat modern dan homey . ada mini garden di kafe ini . makanan nya pun cukup enak dan harga nya terjangkau .",positive,cendana bistro kafe jalan sukajadi management zen reflexiology tercium wangi aromateraphy zen reflexiology kafe nya modern homey mini garden kafe makanan nya enak harga nya terjangkau
saya pelanggan setia mi ini . terutama di cabang - nya yang di paskal hypersquare . mi - nya memang sangat enak . makanan andalan saya selain mi adalah pangsit goreng .,positive,pelanggan setia mi cabang nya paskal hypersquare mi nya enak makanan andalan mi pangsit goreng
berdebat dengan para ahli kitab yang lemah syahwat itu menyebalkan . dikritik bgtu malah dibilang sesat . dikasih dalil minta tafsir . dikasih tafsir minta logika . kalau tidak sesuai dengan syahwat mereka ya tetap dinista ?,negative,berdebat ahli kitab lemah syahwat menyebalkan dikritik bgtu dibilang sesat dikasih dalil tafsir dikasih tafsir logika sesuai syahwat ya dinista
"tempat nya di samping selatan stasiun bandung . sate nya enak , empuk dan bakar nya pas . tidak salah deh milih makan sate di sini . mau pilih sate hati juga ada . kalau ke bandung maulah mampir ke sini lagi",positive,nya samping selatan stasiun bandung sate nya enak empuk bakar nya pas salah deh milih makan sate pilih sate hati bandung maulah mampir
"makanan nya enak sekali , porsi nya tidak terlalu banyak , tapi harga nya lumayan mahal . tempat nya sudah agak tua kecuali gerai-gerai di makanan court .",positive,makanan nya enak porsi nya harga nya lumayan mahal nya tua kecuali geraigerai makanan court
sejak uber tidak ada harga grab jadi mahal banget buset,negative,uber harga grab mahal banget buset
"saya beberapa kali berkunjung ke dusun bambu dan sudah menikmati makan ala foodcourt dan makan di resto nya . kalau di foodcourt , harus menukar uang dengan koin , makanan di food court kebanyakan makanan sunda , cemilan , kue-kue atau aneka mi , ada juga kue serabi . kalau makan di resto nya burangrang , makanan bervariasi , makanan barat , asian , indonesia dengan tampilan menarik .",positive,kali berkunjung dusun bambu menikmati makan ala foodcourt makan resto nya foodcourt menukar uang koin makanan food court kebanyakan makanan sunda cemilan kuekue aneka mi kue serabi makan resto nya burangrang makanan bervariasi makanan barat asian indonesia tampilan menarik
"tempat nya sederhana , tapi makanan nya enak . bisa panggang sendiri daging yang kita pesan . tapi minta dipanggangkan juga bisa . daging nya ada daging kambing , ayam , cumi , dan lain-lain . jual banyak minuman dan jus juga .",positive,nya sederhana makanan nya enak panggang daging pesan dipanggangkan daging nya daging kambing ayam cumi lainlain jual minuman jus
"lokasi bagus banyak spot untuk foto baik di danau buatan maupun di antara kebun bunga , namun untuk permainan harga tergolong mahal , makanan tidak terlalu istimewa . hindari hari libur karena tidak akan nyaman , terlalu ramai .",positive,lokasi bagus spot foto danau buatan kebun bunga permainan harga tergolong mahal makanan istimewa hindari libur nyaman ramai
"tempat ini cukup jauh dari pusat kota lembang , namun sangat disarankan bagi keluarga dengan anak kecil . disediakan tempat bermain untuk anak-anak dengan membayar 50.000 rupiah , bisa bermain sepuas nya . banyak pilihan menu makanan juga",positive,pusat kota lembang disarankan keluarga anak disediakan bermain anakanak membayar rupiah bermain sepuas nya pilihan menu makanan
jokowi adalah presiden indonesia,neutral,jokowi presiden indonesia
"rumah makan nya sih unik . luas juga . parkir nya juga gede . masakan nya campur-campur sih . ada jawa , chines makanan dan makanan barat juga . harus coba deh kalau ke bandung . homie dan yummy .",positive,rumah makan nya sih unik luas parkir nya gede masakan nya campurcampur sih jawa chines makanan makanan barat coba deh bandung homie yummy
"lokasi nya berada di pvj tepat nya di dekat fitness celebrity . seperti calais pada umum nya , tempat nya bersih dengan desain alan - ala kafe . favorit saya di sini adalah bule yang meletus-letus .",positive,lokasi nya pvj nya fitness celebrity calais nya nya bersih desain alan ala kafe favorit bule meletusletus
"sekilas mengenai sop durian lodaya : tempat makan durian waralaba yang cabang nya sudah ada di-mana hal yang saya sukai : - pelayanan oke , mbak waitress mencatat pesanan dengan tepat dan menggunakan teknologi terkini yaitu tablet sepertinya bisa menghemat waktu catat - menu mabuk durian benar-benar bikin mabuk dalam arti positif dan rasa duren nya satu sama lain bisa dibuat konsisten .",positive,sekilas sop durian lodaya makan durian waralaba cabang nya dimana sukai pelayanan oke mbak waitress mencatat pesanan teknologi terkini tablet menghemat catat menu mabuk durian benarbenar bikin mabuk arti positif duren nya konsisten
batik outer kimono big sogan parang motif baru 150 ribu - tersedia di tokopedia,neutral,batik outer kimono big sogan parang motif ribu tersedia tokopedia
psis menang 3 - 2 di kandang psms medan,neutral,psis menang kandang psms medan
udara yang sejuk disertai kerlip lampu menerangi gelap nya dimalam hari . terbaik makanan dan enak . saya suka ini romantis tempat,positive,udara sejuk disertai kerlip lampu menerangi gelap nya dimalam terbaik makanan enak suka romantis
orang yang pakai koteka itu kayak gembel,negative,orang pakai koteka kayak gembel
"saya ke kafe dipakar bersama keluarga , pemandangan nya memang keren banget . makanan nya juga enak-enak . untuk bersantai menikmati sajian dan pemandangan di dipakar sangat menyenangkan . kami ke sana hari minggu , dan sangat ramai pengunjung . tapi tidak menunggu lama , kami langsung dapat meja . untuk makanan , setelah kita order tidak perlu menunggu lama , makanan sudah datang . untuk foto-foto juga sangat bagus .",positive,kafe dipakar keluarga pemandangan nya keren banget makanan nya enakenak bersantai menikmati sajian pemandangan dipakar menyenangkan minggu ramai pengunjung menunggu langsung meja makanan order menunggu makanan fotofoto bagus
enak . setiap ke bandung menu wajib buat saya sekeluarga . pedas nya mengigit .,positive,enak bandung menu wajib sekeluarga pedas nya mengigit
dulu pas sekolah berhasil terbeli handphone lenovo dan sempat ganti handphone jadi xiaomi redmi 3 s juga .,neutral,pas sekolah berhasil terbeli handphone lenovo ganti handphone xiaomi redmi s
"bakmi favorit makan bersama pasangan . menu favorit kami : - bakmi spesial : jamur nya enak - pangsit goreng isi 5 : gurih - tea manis : rasa manis gula nya unik secara keseluruhan baik : menu nya enak dan unik . tempat nya luas dan bersih pakai tcash diskon 20 %, lumayan hemat :",positive,bakmi favorit makan pasangan menu favorit bakmi spesial jamur nya enak pangsit goreng isi gurih tea manis manis gula nya unik menu nya enak unik nya luas bersih pakai tcash diskon lumayan hemat
"rakyat sudah lelah , jemu , bosan dengan tayangan-tayangan anda",negative,rakyat lelah jemu bosan tayangantayangan
"secara umum tempat ini sangat membuat betah untuk duduk bersama teman teman . variasi menu yang banyak , dan kualitas penyajian yang baik di tunjukkan oleh restoran ini . interior nya akan membuat betah untuk foto-foto , namun di sisi lain dalam aspek harga dibanding kafe / restoran sejenis secara harga cukup di atas rata-rata .",positive,betah duduk teman teman variasi menu kualitas penyajian tunjukkan restoran interior nya betah fotofoto sisi aspek harga dibanding kafe restoran sejenis harga ratarata
"bubur ayam di bandung memang banyak tetapi bubur pak hamid lumayan terkenal sejak dulu , untuk rasa silakan coba sendiri , karena lidah orang itu beda beda penilaian nya , tetapi meurut saya lumayan enak .",positive,bubur ayam bandung bubur hamid lumayan terkenal silakan coba lidah orang beda beda penilaian nya meurut lumayan enak
"restoran dengan metode penyajian berbeda . piring tempat makan diganti dengan lembaran daun pisang . menu makanan khas sunda dengan citarasa yang enak . dari segi harga cukup bersahabat , tempat makan luas dan banyak pilihan meja , parkir cukup luas .",positive,restoran metode penyajian berbeda piring makan diganti lembaran daun pisang menu makanan khas sunda citarasa enak segi harga bersahabat makan luas pilihan meja parkir luas
restoran ini sangat sepi dan kurang enak . ketika kami datang cuma kami tamu nya 1 meja saja . lebih banyak staf pegawai daripada tamu yang datang . makanan nya biasa dan tidak menarik,negative,restoran sepi enak tamu nya meja staf pegawai tamu makanan nya menarik
"ayo bersama-sama jangan nonton lagi acara alay , sampah dan tidak berkualitas .",negative,ayo bersamasama nonton acara alay sampah berkualitas
bang fadli dan fahri hamzah mumpuni dan top banget,positive,bang fadli fahri hamzah mumpuni top banget
"dengan lokasi yang berada di pusat kota bandung , double steak sangat mudah untuk ditemui . tempat nya lumayan enak , tetapi tidak terlalu bersih , dan pencahayaan yang remang-remang . tetapi harga steak di double steak sangat murah !",positive,lokasi pusat kota bandung double steak mudah ditemui nya lumayan enak bersih pencahayaan remangremang harga steak double steak murah
lgbt itu di musnahkan dari negeri ini karena lgbt itu iblis dan buang kelaut untuk santapan ikan hiu,negative,lgbt musnahkan negeri lgbt iblis buang kelaut santapan ikan hiu
saya ke restauran ini sore hari untuk mencoba tapas dan menikmati suasana sore .,positive,restauran sore mencoba tapas menikmati suasana sore
"kangkung hotplate sapi nya sebenarnya enak . tapi kami kaget melihat tali rafia dalam makanan kami . ketika dikomplain , tidak ada permintaan maaf sama sekali , hanya pembelaan . bahkan kami membayar satu porsi penuh walaupun pesanan kami dengan jelas tertulis setengah porsi .",negative,kangkung hotplate sapi nya enak kaget tali rafia makanan dikomplain permintaan maaf pembelaan membayar porsi penuh pesanan tertulis porsi
"project buat idealcut nanti mengangkat banner lagi ya ?: sinar nya agak kecewa sih soal nya tahun lalu pas di lagu healing banner nya benar-benar menutupi pandangan , aku yang cuma 154 hanya tidak bisa melihat apa pun ?",negative,project idealcut mengangkat banner ya sinar nya kecewa sih nya pas lagu healing banner nya benarbenar menutupi pandangan
"harapan publik , ketua dpr tak pernah melawan kpk",neutral,harapan publik ketua dpr melawan kpk
tidak mungkin saracen dan mca bergerak tanpa ada dukungan dana dengan tujuan utama untuk menghancurkan tokoh tertentu . ini pasti kerjaan fadli zon dan prabowo .,negative,saracen mca bergerak dukungan dana tujuan utama menghancurkan tokoh kerjaan fadli zon prabowo
sudah mati rasa dengan indosat . dari minggu kemarin tidak bisa melihat video di twitter . bikin marah-marah terus,negative,mati indosat minggu kemarin video twitter bikin marahmarah
masakan sunda dengan harga terjangkau . jangan lupa coba ikan asin jambal nya ya raos banyak di cocol dengan sambel terasi . jangan lupa coba gurame goreng nya ya __laugh__,positive,masakan sunda harga terjangkau lupa coba ikan asin jambal nya ya raos cocol sambel terasi lupa coba gurame goreng nya ya laugh
"mi aceh bang jaly di tanah kusir tidak rekomendasi pelayanan parah sudah pesan hampir sejam tapi pesanan tidak selesai , malahan orang lain yang baru datang dengan menu yang sama tidak pakai tunggu lama langsung jadi",negative,mi aceh bang jaly tanah kusir rekomendasi pelayanan parah pesan sejam pesanan selesai orang menu pakai tunggu langsung
"harga nya boleh dibilang cukup terjangkau . yang terkenal ada steak nya , namun saya lebih memilih spagehti carbonara di sini . porsi nya kurang banyak . hhhaha . namun rasanya lumayan enak sesuai harga nya . campuran nya hanya terlihat keju dan daging asap tipis . juga saya coba chicken mushrom soup . rasanya cukup gurih",positive,harga nya dibilang terjangkau terkenal steak nya memilih spagehti carbonara porsi nya hhhaha lumayan enak sesuai harga nya campuran nya keju daging asap tipis coba chicken mushrom soup gurih
lokasi nya sangat jauh dan jalan menuju ke lokasi juga tidak terlalu baik . kondisi restoran cukup nyaman dan dingin sekali bila makan di ruang yang terbuka . agar tidak terlalu dingin dan dapat melihat pemandangan bandung dari atas bisa duduk di lantai atas yang tertutup kaca . steak yang disediakan cukup enak dan daging nya cukup lembut dan pelayanan nya juga cepat dan staf nya .,positive,lokasi nya jalan lokasi kondisi restoran nyaman dingin makan ruang terbuka dingin pemandangan bandung duduk lantai tertutup kaca steak disediakan enak daging nya lembut pelayanan nya cepat staf nya
gubernur barokah 10 tahun tidak bisa mengapa - ngapain,negative,gubernur barokah ngapain
makanan murah . untuk harga yang ditawarkan sih ya rata-rata begini makana nya . hanya pelayanan harus ditingkatkan karena cenderung lambat .,positive,makanan murah harga ditawarkan sih ya ratarata makana nya pelayanan ditingkatkan cenderung lambat
memang itu yang jadi gubernur jawa barat untuk apa saja periode ? malu - maluin saja . harus pak presiden yang turun tangan begitu . itu ciliwung apa kabar nya ? bagaimana lanjutan normalisasi sungai nya di zaman asu ?,negative,gubernur jawa barat periode malu maluin presiden turun tangan ciliwung kabar nya lanjutan normalisasi sungai nya zaman asu
"ayam goreng satu ekor bumbu nya khas dan disertai bubuk dari gorengan yang rasanya krispi , harga nya rp 75.000 , - sambal nya tidak begitu pedas cocok untuk tua muda , tempat nya bersih",positive,ayam goreng ekor bumbu nya khas disertai bubuk gorengan krispi harga nya rp sambal nya pedas cocok tua muda nya bersih
"menurut saksi , suspek adalah 2 orang lelaki yang menunggang motor yamaha lc .",neutral,saksi suspek orang lelaki menunggang motor yamaha lc
"jual novel circa by sitta karina hanya rp 20.000 , pemesanan klik",neutral,jual novel circa by sitta karina rp pemesanan klik
"karena menginap di resort nya maka kita memutuskan untuk makan malam di sana , secara keseluruhan tidak ada yang spesial dari makanan nya . karena sudah malas keluar jadi kita coba restoran nya .",positive,menginap resort nya memutuskan makan malam spesial makanan nya malas coba restoran nya
"tempat nya bagus , pemandangan indah , semakin sore semakin ramai tempat nya , disarankan reserved dulu kalau mau ke sini , makanan enak enak , oke pokok nya",positive,nya bagus pemandangan indah sore ramai nya disarankan reserved makanan enak enak oke pokok nya
"pertama melihat pemandangan nya , indah banget . ditambah lagi menu nya yang rasanya amat amat delicious . komplit sudah suasana malam ini . begitu juga dengan pelayanan nya yang sangat bersahabat . terima kasih buat mbak indri , mas reza , mas firdaus . tetap keep smile nya ya . see untuk lagi .",positive,pemandangan nya indah banget ditambah menu nya delicious komplit suasana malam pelayanan nya bersahabat terima kasih mbak indri mas reza mas firdaus keep smile nya ya see
"benar-benar ancur negara aing . kabar dari cianjur selatan , para anjing-anjing yang pura-pura gila sudah sampai tanggeung cianjur selatan . dia berencana membunuh ulama tanggeung kiayi h din din tapi alhamdulillah bisa ditangkap .",negative,benarbenar ancur negara aing kabar cianjur selatan anjinganjing purapura gila tanggeung cianjur selatan berencana membunuh ulama tanggeung kiayi h din din alhamdulillah ditangkap
"tempat unik , makanan lumayan enak . suasana pagi dan malam benar-benar berbeda . kalau malam lebih romantis . tempat yang wajib dicoba :",positive,unik makanan lumayan enak suasana pagi malam benarbenar berbeda malam romantis wajib dicoba
bubur ayam dengan telor pitan yang hangat dan lesat ditambah pangsit udang menambah lezat nya bubur dari resto ini .,positive,bubur ayam telor pitan hangat lesat ditambah pangsit udang menambah lezat nya bubur resto
"area indoor nya tidak begitu luas , area lantai 2 nya pun jarang dibuka , jadi kebanyakan orang bersantap di area luar . kalau liburan pasti selalu penuh",positive,area indoor nya luas area lantai nya jarang dibuka kebanyakan orang bersantap area liburan penuh
"ada 3 macam makanan disediakan di warung ini : nasi kuning bubur ayam lontong kari sapi . masakan cukup enak , porsi pas buat sarapan , harga bersahabat banget .",positive,makanan disediakan warung nasi kuning bubur ayam lontong kari sapi masakan enak porsi pas sarapan harga bersahabat banget
apresiasi,positive,apresiasi
pilihan nya banyak dan harga nya standar . kuah nya ada kuah ayam dan tom yam . rasanya biasa saja dan sayang bumbu sambal nya kurang mantap,positive,pilihan nya harga nya standar kuah nya kuah ayam tom yam sayang bumbu sambal nya mantap
ingin marah banget gua sama indosat,negative,marah banget gua indosat
"pemerintah ini , makin cinta deh ah . sering bikin deg-degan tidak keruan . untung masih kebagian tiket",positive,pemerintah cinta deh ah bikin degdegan keruan untung kebagian tiket
"sebentar-sebentar itu bos lu kok ikut menyalakan lilin gereja hayo : v jadi ingin dijadikan presiden terus tidak bisa baca alquran orang nya juga begitu , entar malah yang dipakai kristenisasi : v",negative,sebentarsebentar bos lu menyalakan lilin gereja hayo v dijadikan presiden baca alquran orang nya entar dipakai kristenisasi v
"lokasi dan pemandangan sangat natural serasa di pedesaan , harga tiket masuk sangat murah , pertama kali datang anda akan disambut oleh musik khas sunda , anda akan diantar ke tempat permainan dan restoran menggunakan mobil fasilitas gratis dari restoran ini . membeli makanan menggunakan voucher yang dapat dibeli dan dikembalikan pada hari tersebut , makanan nya sangat khas daerah jawa barat , anak-anak kami sangat menyukai nya .",positive,lokasi pemandangan natural serasa pedesaan harga tiket masuk murah kali disambut musik khas sunda diantar permainan restoran mobil fasilitas gratis restoran membeli makanan voucher dibeli dikembalikan makanan nya khas daerah jawa barat anakanak menyukai nya
"ada bani micin nesu bandingkan say yang bikin album dengan menteri-menteri pakde yang nge - bank padahal ini kan spontanitas , hahaha telan itu micin facewithtearsofjoy",negative,bani micin nesu bandingkan say bikin album menterimenteri pakde nge bank spontanitas hahaha telan micin facewithtearsofjoy
vivo kamera nya jelek,negative,vivo kamera nya jelek
"lokasi nya tepat di bawah hotel jadi tidak terlalu ramai , jadi tidak perlu bingung untuk mencari lokasi tempat duduk .",positive,lokasi nya hotel ramai bingung mencari lokasi duduk
"semoga tahun depan akan menjadi lebih baik lagi ya pak , jaya selalu polisi indonesia",positive,semoga ya jaya polisi indonesia
"ini adalah tempat makan ramen yang berada di foodcourt btc fashion mal blok ff jalan terusan pasteur bandung . di lantai atas ini , memang banyak pilihan makanan yang bisa kita coba nikmati . salah satu nya adalah tenno ramen ini . sebenarnya tenno ramen sendiri ada di 5 tempat yaitu paskal hyper square , btc , festival citylink , bip , dan krang kring .",positive,makan ramen foodcourt btc fashion mal blok ff jalan terusan pasteur bandung lantai pilihan makanan coba nikmati salah nya tenno ramen tenno ramen paskal hyper square btc festival citylink bip krang kring
selai srikaya yang enak nya tiada lawan . toast - nya itu kalau dimakan hangat-hangat sangat yummy . recommended srikaya keju - nya . layak dicoba .,positive,selai srikaya enak nya tiada lawan toast nya dimakan hangathangat yummy recommended srikaya keju nya layak dicoba
kumpulan preman bersorban ketua nya saja buronan polisi .,negative,kumpulan preman bersorban ketua nya buronan polisi
tempat nya pas dan cocol untuk keluarga . adem . sejuk . dingin . tidak membosankan . jadi betah lama lama . indah alloh nanti balik lagi ke sana,positive,nya pas cocol keluarga adem sejuk dingin membosankan betah indah alloh
"saya makan malam di ayam goreng brebes di lembang , bandung pada senin , 01 jun 2015 . tempat makan nya luas , dan banyak meja makan yang tersedia . ada juga beberapa penyewa di tempat ini , yang letak nya di pojok dalam rumah makan ini . pada saat duduk di kursi makan , tamu yang baru selesai makan di dekat meja makan saya , menunjukkan tagihan makan yang cukup mengejutkan , tapi masih bisa dijangkau .",positive,makan malam ayam goreng brebes lembang bandung senin jun makan nya luas meja makan tersedia penyewa letak nya pojok rumah makan duduk kursi makan tamu selesai makan meja makan tagihan makan mengejutkan dijangkau
rasa sudah berubah tidak seperti dulu . terkesan hambar . harus di tingkatkan cita rasanya . untuk menu minuman sangat minim hanya ada soft drink,negative,berubah terkesan hambar tingkatkan cita menu minuman minim soft drink
"waktu ke sushi den saya beli nya okonomiyaki , rasanya sih biasa saja tidak ada yang spesial , porsi nya tidak banyak tidak dikit juga . untuk harga sekitar 30 ribuan dan kalau menurut saya masih banyak tempat masakan jepang yang lebih enak sih dari segi rasa , untuk tempat lumayan enak dan pelayanan nya juga ramah .",positive,sushi den beli nya okonomiyaki sih spesial porsi nya dikit harga ribuan masakan jepang enak sih segi lumayan enak pelayanan nya ramah
"mana kinerja nya yang paling buruk ? tni , polri , satpol pp , hansip atau satpam ?",negative,kinerja nya buruk tni polri satpol pp hansip satpam
"saya berekspektasi tinggi pada awal nya terhadap rasa ayam di sini . dilihat dari media sosial mereka terasa sangat menggiurkan . namun setelah dicoba ternyata rasa ayam nya biasa saja menurut saya , bumbu nya pun kurang meresap . menunggu nya pun cukup lama",negative,berekspektasi nya ayam media sosial menggiurkan dicoba ayam nya bumbu nya meresap menunggu nya
"tempat paling jauh dari antara seluruh restoran yang ada di kawasan kolonel masturi . karena masih baru permainan masih sedikit , makanan biasa saja , sebaiknya . tiket masuk 10 ribu per orang dan mobil 10,000 . setelah dari garut saya lebih memilih kampung sampireun atau kampung sumber alam untuk bersantai daripada di lokasi ini .",positive,restoran kawasan kolonel masturi permainan makanan tiket masuk ribu orang mobil garut memilih kampung sampireun kampung sumber alam bersantai lokasi
musnahkan manusia ini ya tuhan . amen .,negative,musnahkan manusia ya tuhan amen
"jangan begitu bu , yang muslim saja di bom saat salat jumat .",negative,bu muslim bom salat jumat
ustad asal asal kebanyakan bacot,negative,ustad kebanyakan bacot
"kalau tidak punya uang buat beli komik tapi juga ingin nongkrong . datang saja ke sini . koleksi komik nya lengkap . makanan minuman nya sebenr nya hanya fixture tambahan , tapi cukup lumayan . harga nya juga murah khas mahasiswa .",positive,uang beli komik nongkrong koleksi komik nya lengkap makanan minuman nya sebenr nya fixture tambahan lumayan harga nya murah khas mahasiswa
sebarkan terus sejuta kebaikan jokowi . mulai dari yang sederhana soal mudik lebaran 2018 tanpa macet . harga sembako stabil menjelang lebaran . sampai soal listrik masuk pedalaman papua .,positive,sebarkan sejuta kebaikan jokowi sederhana mudik lebaran macet harga sembako stabil menjelang lebaran listrik masuk pedalaman papua
kalau ahok tidak ditangkap maka kami di aceh akan pergi ke jakarta untuk memotong kepala rezim yahudi ini dan seluruh cina yang ada di aceh kami potong leher nya .,negative,ahok ditangkap aceh pergi jakarta memotong kepala rezim yahudi cina aceh potong leher nya
"eh orang batak kampung , gaya sok naik mobil bodoh",negative,eh orang batak kampung gaya sok mobil bodoh
tertarik,positive,tertarik
penggemar yamien sama basooo . boleh lama ini di cobaaa ini yamien sama bakso nya tidak kalah sama yamien bakso yang lain-lain . sedepp,positive,penggemar yamien basooo cobaaa yamien bakso nya kalah yamien bakso lainlain sedepp
"bakso nya enak , bisa pilih sesuai selera kita , tempat nya juga strategis mudah diakses oleh kendaraan umum",positive,bakso nya enak pilih sesuai selera nya strategis mudah diakses kendaraan
tiu 125 tak 100 tkp 142 lolos enggak sih ? galau akut . butuh sandaran .,negative,tiu tkp lolos sih galau akut butuh sandaran
"lagi di bandung makan yang berkuah yang hangat-hangat cocok banget . untuk menu suki saya pilih kuah tom yum , rasanya nikmat gurih . selain itu dimsum nya juga oke , berasa enak nya . untuk harga relatif terjangkau .",positive,bandung makan berkuah hangathangat cocok banget menu suki pilih kuah tom yum nikmat gurih dimsum nya oke berasa enak nya harga relatif terjangkau
kita pengguna indihome yang bayar mahal setiap bulan tidak bisa menikmati,negative,pengguna indihome bayar mahal menikmati
"kalau anda sampai di restoran the valley jangan lupa pesan steak iga sapi muda yang sangat luar biasa , harga nya 750 ribu per porsi tapi itu pantas untuk makanan yang enak dan nikmat nya seperti itu , saya betul betul menikmati nya",positive,restoran the valley lupa pesan steak iga sapi muda harga nya ribu porsi makanan enak nikmat nya menikmati nya
"presiden jokowi : masyarakat semakin dewasa , dan pintar dalam pilih capres - cawapres",neutral,presiden jokowi masyarakat dewasa pintar pilih capres cawapres
tidak setia,negative,setia
mimpi disuruh mencari coklat sama gordon ramsay eh malah kecampur sama kuah indomie terus bentuk nya jadi aneh . :,negative,mimpi disuruh mencari coklat gordon ramsay eh kecampur kuah indomie bentuk nya aneh
bantai fpi ! ayo kita umat muslim bantai fpi sekarang juga ! jangan biarkan islam kita dicoreng sama sekumpulan pki berkedok islam !,negative,bantai fpi ayo umat muslim bantai fpi biarkan islam dicoreng sekumpulan pki berkedok islam
"saya sayangat berkesan datang ke kafe di pakar , tempat yang nyaman dengan pemandangan hutan dago pakar yang di selimuti kabut . makanan yang disajikan kebanyakan makanan ringan seperti roti , cireng dan jajanan lain . di sini kita harus memesan minimal order perorang 25 ribu , untuk minuman dan makanan . saya anjurkan untuk datang sore hati sekitar jam 3 atau jam 4 , saat turun kabut .",positive,sayangat berkesan kafe pakar nyaman pemandangan hutan dago pakar selimuti kabut makanan disajikan kebanyakan makanan ringan roti cireng jajanan memesan minimal order perorang ribu minuman makanan anjurkan sore hati jam jam turun kabut
hari kemarin banyak cerita . cerita yang melelahkan,negative,kemarin cerita cerita melelahkan
"saat datang ke sini sangat ramai dan antre panjang . rasanya juga enak namun , agak mahal untuk seukuran siomay yang cukup kecil , makan di tempat pun juga tersedia namun penuh sehingga kami hanya untuk dibungkus dan dijadikan oleh-oleh . tapi untuk rasa juaranyalah di bandung .",positive,ramai antre enak mahal seukuran siomay makan tersedia penuh dibungkus dijadikan oleholeh juaranyalah bandung
"tolong ya minimal , demi kemudahan nasabah agar di dalam stasiun tigaraksa diberikan mesin atm beserta iklan bank bni",neutral,tolong ya minimal kemudahan nasabah stasiun tigaraksa mesin atm beserta iklan bank bni
"lumayan jika mau berkumpul dan dine di tempat ini steak nya sedikit berkualitas juga proses masak yang benar terutama mushroom sc enak banget tolong di pertahankan kualitas nya dengan harga yang masih standart , yang perlu di tingkatkan ruangan dekorasi yang simpel karena tempat nya tidak terlalu besar . but bagaimana pun yang penting harga masih baik untuk pelanggan .",positive,lumayan berkumpul dine steak nya berkualitas proses masak mushroom sc enak banget tolong pertahankan kualitas nya harga standart tingkatkan ruangan dekorasi simpel nya but harga pelanggan
"makanan nya enak , tempat bagus banget pelayanan nya ramah live music nya juga bagus semoga semakin sukses ke depan nya amin",positive,makanan nya enak bagus banget pelayanan nya ramah live music nya bagus semoga sukses nya amin
"hop hop bubble drink ini menurut saya rasanya standar dengan bule minuman lainnya . saya beli yang milik tea pakai pearl , rasanya biasa saja . harga nya cukup murah dibandingkan dengan bule minuman yang lainnya , tapi tidak terlalu banyak varian nya . jadi mungkin agak bosan kalau beberapa kali ke sini .",positive,hop hop bubble drink standar bule minuman beli milik tea pakai pearl harga nya murah dibandingkan bule minuman varian nya bosan kali
orang itu rendah hati . tidak seperti kau yang munafik .,negative,orang rendah hati kau munafik
"kalau ke bandung dan ingin bertemu kafe kafe lucu , ini salah satu nya . lokasi nya di paskal hyper square , makanan nya enak dan banyak pilihan , jangan lupa coba bing soo dan makanan penutup nya enak enak . jangan lupa bawa kamera buat foto foto",positive,bandung bertemu kafe kafe lucu salah nya lokasi nya paskal hyper square makanan nya enak pilihan lupa coba bing soo makanan penutup nya enak enak lupa bawa kamera foto foto
aku buka grab . tidak ada satu pun grab driver yang online karena tengah malam .,neutral,buka grab grab driver online malam
